Curtailment,red
Other,gray20
Fuel oil,gray50
Diesel,peru
Gas CT,firebrick
Gas CC,lightpink
Sub-coal,violetred2
Super-coal,darkolivegreen4
Nuclear,mediumpurple3
Hydro,dodgerblue2
Solar-PV,goldenrod1
Wind,steelblue3
